Artifact ID,Buoy 1 - Visible,Buoy 1 - Centralized,Buoy 1 - Audible,Buoy 2 - Visible,Buoy 2 - Centralized,Buoy 2 - Audible,Buoy 3 - Visible,Buoy 3 - Centralized,Buoy 3 - Audible,Buoy 4 - Visible,Buoy 4 - Centralized,Buoy 4 - Audible,Buoy 5 - Visible,Buoy 5 - Centralized,Buoy 5 - Audible
0,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
2,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0
3,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1
4,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1
5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1
7,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1
8,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1
9,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
10,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12,0,0,1,0,0,1,1,1,1,0,0,1,1,0,1
13,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1
14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
15,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
16,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
17,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
18,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1
21,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
22,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1
23,0,0,1,1,1,1,1,1,1,0,0,1,1,0,1
24,0,0,1,1,1,1,0,0,0,0,0,1,1,0,1
25,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
26,0,0,1,1,1,1,1,0,0,0,0,1,1,0,1
27,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
28,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
29,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
30,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0